hashtag,response
#편미분,✅ 편미분은 다변수 함수에서 하나의 변수만 고정하고 미분하는 것!
#테일러전개,🧮 테일러 전개: 함수 f(x)를 x=a 기준 다항식으로 근사!
#행렬식,📐 행렬식(determinant)은 선형변환의 부피 변화율을 의미해요.
#라플라스변환,"⚙️ 공학 수학에서 미분 방정식을 풀기 위한 도구, 주파수 영역 해석에 유용"
#고유값,🧊 고유값은 Ax = λx에서 λ를 의미. 고유벡터는 방향 고정되는 벡터
#포아송분포,📊 단위 시간(또는 공간)당 사건 발생 횟수를 다룰 때 사용하는 분포
#기댓값,🎯 확률에서의 평균 개념. E[X] = Σ xP(x)
#그라디언트,⛳ 방향 미분에서 가장 가파른 상승 방향 벡터
#미분가능,✅ 연속이라고 미분 가능은 아님! 반례: f(x) = |x|
#삼각함수미분,"💡 sin→cos, cos→-sin, tan→1+tan²"
#광합성식,🌱 6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂
#뉴턴운동법칙,"⚖️ 1법칙(관성), 2법칙(F=ma), 3법칙(작용-반작용)"
#유전법칙,"🧬 멘델의 유전 법칙: 분리의 법칙, 독립의 법칙"
#산염기,"🔬 pH < 7은 산성, pH > 7은 염기성"
#몰농도,🧪 몰농도(M) = 용질 몰수 / 용액 부피(L)
#전자배치,⚛️ 전자는 1s → 2s → 2p 순으로 채워져요
#반감기,☢️ 방사성 원소가 절반으로 줄어드는 데 걸리는 시간
#빛의스펙트럼,"🌈 가시광선은 400~700nm, 자외선은 이보다 짧아요"
#사회계약론,"📘 로크, 루소 등이 주장. 국가는 국민의 동의로 탄생"
#국민주권,🗳️ 모든 권력은 국민으로부터 나온다는 민주주의 원리
#신자유주의,"💸 시장 자율 강조, 복지 축소 경향의 경제 철학"
#프랑스혁명,"🏛️ 자유, 평등, 박애를 외친 1789년 프랑스 대혁명"
#냉전,"🧊 미국 vs 소련의 이념 대립, 2차대전 후 냉전시대"
#조약,✍️ 국가 간 법적 구속력이 있는 협정
#유교,"📜 공자가 주장한 인(仁), 예(禮), 효(孝)의 도리"
#포모도로,"⏲️ 25분 집중, 5분 휴식 반복하는 공부법"
#SQ3R,"📚 SQ3R: Survey, Question, Read, Recite, Review"
#애빙하우스,🔁 애빙하우스의 망각곡선은 반복 학습의 중요성을 보여줘요
#메타인지,🧠 내가 아는 것과 모르는 것을 아는 능력
#블룸의분류,📊 기억→이해→적용→분석→평가→창조 (블룸의 분류)
#RESTAPI,🌐 HTTP 기반의 자원 조작 API 스타일
#SQLjoin,"🔗 Inner, Left, Right, Full Join의 차이 알기"
#OOP,"🧱 객체지향: 캡슐화, 상속, 다형성이 핵심"
#재귀함수,🔁 함수가 자기 자신을 호출하는 구조
#빅오표기법,⏳ 알고리즘 효율성을 나타내는 시간 복잡도 표기법
